"TÍTULO","TIPO DE SERVIÇO","GRUPO DE ATIVIDADE","LINHA DE AÇÃO","AVALIAÇÃO DE POLÍTICA PÚBLICA","PUBLICAÇÃO","LOCALIDADES"
"Relatório 1551235 - Aplicação de recursos provenientes do Contrato de Empréstimo BID 3391/OC-BR pela Prefeitura de Recife (PE)","Avaliação","Avaliação dos Contratos de Recursos Externos","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 1530060 - Apoio à gestão administrativa e fiscal dos municípios brasileiros: execução do Contrato de Empréstimo BID 3391/OC-BR","Avaliação","Avaliação dos Contratos de Recursos Externos","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 1551237 - Aplicação de recursos provenientes do Contrato de Empréstimo BID 3391/OC-BR pela Prefeitura de Aracaju (SE)","Avaliação","Avaliação dos Contratos de Recursos Externos","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 1551231 - Aplicação de recursos provenientes do Contrato de Empréstimo BID 3391/OC-BR pelo GDF","Avaliação","Avaliação dos Contratos de Recursos Externos","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 1344586 - Governança e gestão das redes de comunicação de dados da administração pública federal","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 1424553 - Aplicação de recursos federais na aquisição de medicamentos pela Prefeitura de Itapecerica da Serra (SP)","Apuração","","Auditoria Interna Governamental",Não,10/06/2024,"Itapecerica da Serra/SP"
"Relatório 1360352 - Regulação dos serviços de saúde ambulatoriais de média e alta complexidade em Belém (PA)","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Belém/PA"
"Relatório 1330235 - Aplicação de recursos federais na aquisição de medicamentos pela Prefeitura de Cotia (SP)","Apuração","","Auditoria Interna Governamental",Não,10/06/2024,"Cotia/SP"
"Relatório 1438241 - Restos a pagar oriundos de transferências voluntárias","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 903999 - Governança e gestão das bolsas da Capes para discentes de pós-graduação","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Brasília/DF"
"Relatório 1524418 - Contratação obra de engenharia pela UFAC","Avaliação","Análise de Alertas de Licitações","Auditoria Interna Governamental",Não,10/06/2024,"Rio Branco/AC"
"Relatório 1461089 - Governança e gestão de contratações da UFPB","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"João Pessoa/PB"
"Relatório 1609471 - Aquisição de material para hemodinâmica pelo Hospital Universitário Antônio Pedro (UFF)","Avaliação","Análise de Alertas de Licitações","Auditoria Interna Governamental",Não,10/06/2024,"Niterói/RJ"
"Aplicação de recursos federais em hospital de campanha (Covid-19) pela Prefeitura de Nossa Senhora do Socorro (SE)","Apuração","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Nossa Senhora do Socorro/SE"
"Aplicação de recursos federais da área da saúde pela Prefeitura de Icó (CE)","Apuração","","Auditoria Interna Governamental",Não,10/06/2024,"Icó/CE"
"Relatório 1196943 - Financiamento federal da atenção especializada no SUS: operacionalização do Fundo de Ações Estratégicas e Compensação (FAEC)","Avaliação","Outros","Auditoria Interna Governamental",Sim,10/06/2024,"Brasília/DF"
"Relatório 1187108 - Aplicação de recursos públicos federais em angioplastia coronariana realizada pelo Hospital Angelina Caron (PR)","Apuração","","Auditoria Interna Governamental",Não,10/06/2024,"Campina Grande do Sul/PR"
"Relatório 1561043 - Aplicação de recursos federais na alimentação escolar pelo Governo do Estado do Amapá","Apuração","","Auditoria Interna Governamental",Não,10/06/2024,"Macapá/AP"
"Aplicação de recursos federais no transporte escolar pela Prefeitura de Chorozinho (CE)","Apuração","","Auditoria Interna Governamental",Não,10/06/2024,"Chorozinho/CE"
"Relatório 1173428 - Convênio entre UFRGS e fundação de apoio para a realização de cursos técnicos da área da saúde","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Porto Alegre/RS"
"Relatório 1474606 - Contratação e execução de obras emergenciais na BR-282 pelo DNIT/SC","Avaliação","Outros","Auditoria Interna Governamental",Não,10/06/2024,"Florianópolis/SC"
"Relatório 1505974 - Edital do DSEI Interior Sul (SC) para locação de veículos utilizados na saúde indígena","Avaliação","Análise de Alertas de Licitações","Auditoria Interna Governamental",Não,10/06/2024,"São José/SC"
"Relatório 1565649 - Contratação de motoristas pelo DSEI/PE","Avaliação","Análise de Alertas de Licitações","Auditoria Interna Governamental",Não,10/06/2024,"Recife/PE"
"Relatório de Avaliação nº 1360686 - INSS/MPS - Avaliação da usabilidade do aplicativo Meu INSS","Avaliação","Outros","Auditoria Interna Governamental",Não,07/06/2024,"Brasília/DF"
"Relatório 1376780 - Atendimento oftalmológico do HUGV (EBSERH) associado a convênio com estado do Amazonas (AM)","Avaliação","Outros","Auditoria Interna Governamental",Não,17/05/2024,"Manaus/AM"
"Relatório 1368656 - Governança e gestão do Programa Seguro-Desemprego (PSD)","Avaliação","Outros","Auditoria Interna Governamental",Não,13/05/2024,"Brasília/DF"
"Relatório nº 1026174 – SGP/ME – Análise de militares e pensionistas de militares com vínculos de agente público civil","Avaliação","Outros","Auditoria interna governamental",Não,09/06/2022,"Brasília/DF"
"Relatório nº 1537520 - Análise da Licitação Número '34/2023' - Serviços de vigilância e portaria - Universidade Federal do Rio de Janeiro (UFRJ)","Avaliação","Análise de Alertas de Licitações","Auditoria Interna Governamental",Não,14/03/2024,"Rio de Janeiro"
"Relatório nº 1536128 - Análise da Licitação Número '35/2023' - Superintendência de Trens Urbanos de Recife (STU-REC) - Prestação de serviços de limpeza e conservação","Avaliação","Análise de Alertas de Licitações","Auditoria Interna Governamental",Não,16/04/2024,"Recife/PE"
"Relatório n° 201900549 - Apoio à Infraestrutura para a Educação Básica","Apuração","Outros","Auditoria interna governamental",Sim,30/07/2021,"Lagoa Alegre/PI"
"Relatório n° 201900452 - Apoio à Implantação de Escolas para Educação Infantil","Apuração","Demandas Externas e Representações","Auditoria interna governamental",Sim,30/07/2021,"Lagoa Alegre/PI"
"Relatório n° 201802011 - Apoio à Infraestrutura para a Educação Básica","Apuração","Demandas Externas e Representações","Auditoria interna governamental",Sim,30/07/2021,"Sertânia/PE"
"Relatório n° 201702462 - Programa Bolsa Família","Apuração","Outros","Auditoria interna governamental",Sim,22/11/2021,"Canelinha/SC"
"Relatório n° 201702461 - Programa Bolsa Família","Apuração","Outros","Auditoria interna governamental",Sim,22/11/2021,"Garopaba/SC"
"Relatório n° 201701877 - Apoio ao Transporte Escolar na Educação Básica- PNATE","Apuração","Outros","Auditoria interna governamental",Não,30/07/2021,"Feira de Santana/BA"
"Relatório n. 823144 - Avaliação da Prestação Anual de Contas do Sest/CN e Senat/CN - exercício 2013.","Avaliação","Avaliação da Prestação Anual de Contas","Auditoria interna governamental",Não,17/06/2021,"Brasília/DF"
"Relatório final de Auditoria de Avaliação nº 906415.","Avaliação","Outros","Auditoria interna governamental",Não,31/03/2022,"Rio de Janeiro"
"Relatório do FEF V-07 em Lago do Junco/MA 837876 - Pnae, Fundeb e Custeio-SUS.","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Sim,27/06/2022,"Lago do Junco/MA"
"Relatório do FEF V-07 em Amapá do Maranhão/MA 837203 - Pnae, Fundeb e Custeio-SUS.","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Sim,27/06/2022,"Amapá do Maranhão/MA"
"Relatório do FEF 07 em Arari/MA 837187 - Pnae, Fundeb e Custeio-SUS.","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Sim,27/06/2022,"Arari/MA"
"Relatório do 7º Ciclo FEF - Município de Campo Maior","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Sim,25/04/2022,"Campo Maior/PI"
"Relatório de fiscalização nº 834968 – Monte Azul Paulista - SP","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Sim,04/11/2021,"Monte Azul Paulista/SP"
"Relatório de avaliação sobre concessão de jornada de trabalho flexibilizada a técnicos administrativos em Universidades Federais e Institutos Federais de Educação, Ciência e Tecnologia","Avaliação","Outros","Auditoria interna governamental",Não,31/03/2022,"Florianópolis/SC"
"Relatório de avaliação nº 833608 - Processo de Incorporação de Tecnologias em Saúde","Avaliação","Outros","Auditoria interna governamental",Não,21/01/2022,"Brasília/DF"
"Relatório de avaliação nº 201902484 - Companhia Brasileira de Trens Urbanos - Administração Central - CBTU","Avaliação","Outros","Auditoria interna governamental",Não,14/10/2021,"Rio de Janeiro"
"Relatório de avaliação nº 201900185 - Ministério da Economia - Transparência e Prestação de Contas na Governança de Subsídios da União-","Avaliação","Outros","Auditoria interna governamental",Não,14/06/2021,"Brasília/DF"
"Relatório de avaliação - Processo de Contratações - Companhia Docas do Pará (CDP)","Avaliação","Outros","Auditoria interna governamental",Não,18/10/2022,"Belém/PA"
"Relatório de auditoria nº 906377 - BNDES","Avaliação","Avaliação da Prestação Anual de Contas","Auditoria interna governamental",Não,07/07/2021,"Rio de Janeiro"
"Relatório de Verificação da Prestação de Contas nº 1076116 - Ministério do Desenvolvimento Regional - Exercício 2021","Avaliação","Outros","Auditoria interna governamental",Não,09/02/2023,"Brasília/DF"
"Relatório de Verificação da Prestação de Contas nº 1076113 - Superintendência de Desenvolvimento do Centro-Oeste - Exercício 2021","Avaliação","Outros","Auditoria interna governamental",Não,16/03/2023,"Brasília/DF"
"Relatório de Verificação da Prestação de Contas da ANA - exercício 2021","Avaliação","Avaliação da Prestação Anual de Contas","Auditoria interna governamental",Não,08/03/2023,"Brasília/DF"
"Relatório de Fiscalização nº 833853 - 7º Ciclo do FEF - São Luiz-RR","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,23/02/2022,"Boa Vista/RR"
"Relatório de Fiscalização nº 816800 - Desenvolvimento Regional - Pavimentação de vias públicas no município de José de Freitas/PI","Avaliação","Outros","Auditoria interna governamental",Sim,28/11/2021,"José de Freitas/PI"
"Relatório de Fiscalização nº 201801488 - Benefício de Prestação Continuada - PM de Matozinhos/MG","Avaliação","Outros","Auditoria interna governamental",Não,03/12/2021,"Matozinhos/MG"
"Relatório de Fiscalização nº 201801383 - Benefício de Prestação Continuada - PM de Pontal do Paraná/PR","Avaliação","Outros","Auditoria interna governamental",Não,03/12/2021,"Pontal do Paraná/PR"
"Relatório de Fiscalização nº 201801382 - Benefício de Prestação Continuada - PM de Guaratuba/PR","Avaliação","Outros","Auditoria interna governamental",Não,03/12/2021,"Guaratuba/PR"
"Relatório de Fiscalização nº 201701550 - FUNDES - Avaliação da contratualização da gestão das Unidades de Pronto Atendimento (UPA) por meio da Organização Social de Saúde ISGH","Apuração","Demandas Externas e Representações","Auditoria interna governamental",Não,20/10/2021,"Fortaleza/CE"
"Relatório de Fiscalização nº 201700923 - Convênio Universidade Federal da Bahia (UFBA) e a Universidade Agostinho Neto (UAN) de Angola","Apuração","Demandas Externas e Representações","Auditoria interna governamental",Sim,31/03/2022,"Salvador/BA"
"Relatório de Fiscalização n. 201801636 - DNIT/Superintendência Regional de Mato Grosso","Avaliação","Outros","Auditoria interna governamental",Não,22/02/2022,"Cuiabá/MT"
"Relatório de Fiscalização em Entes Federativos nº 840679 - Encruzilhada do Sul/RS","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,25/01/2022,"Encruzilhada do Sul/RS"
"Relatório de Fiscalização em Entes Federativos nº 840661- Casca/RS","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,25/01/2022,"Casca/RS"
"Relatório de Fiscalização em Entes Federativos nº 840654 - Lindolfo Collor/RS","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,25/01/2022,"Lindolfo Collor/RS"
"Relatório de Fiscalização em Entes Federativos nº 837658 Município de Santa Rosa de Lima/SE 2021","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,17/01/2022,"Santa Rosa de Lima/SE"
"Relatório de Fiscalização em Entes Federativos nº 837648 Município de Carmópolis/SE 2022","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,16/02/2022,"Carmópolis/SE"
"Relatório de Fiscalização de Entes Federativos nº 836304 - Penedo/AL - Teto MAC e Covid-19","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,01/06/2022,"Penedo/AL"
"Relatório de Fiscalização de Entes Federativos nº 830246 - Passo de Camaragibe - AL - Precatórios do Fundef","Apuração","Fiscalização de Entes Federativos","Auditoria Interna Governamental",Não,29/04/2022,"Passo de Camaragibe/AL"
"Relatório de Fiscalização 201701223 - Hospital Regional de Itapipoca","Apuração","Demandas Externas e Representações","Auditoria interna governamental",Não,18/02/2022,"Itapipoca/CE"
"Relatório de Fiscalização 201701222 - Hospital Regional de Itapipoca","Apuração","Demandas Externas e Representações","Auditoria interna governamental",Não,18/02/2022,"Itapipoca/CE"
"Relatório de Execução do Plano Tático CGU/SFC 2020-2021 - Pagamento de Benefícios","Avaliação","Outros","Auditoria interna governamental",Não,02/06/2022,"Brasília/DF"
"Relatório de Consultoria – Aperfeiçoamento da governança de colegiados da Câmara do Comércio Exterior - Camex","Consultoria","","Auditoria interna governamental",Não,05/01/2022,"Brasília/DF"
"Relatório de Consultoria sobre aumento dos valores mínimos das transferências voluntárias da União - nº 946302 - Secretaria de Gestão do Ministério da Economia","Consultoria","Prestação de Contas da Presidência da República","Auditoria interna governamental",Não,27/09/2021,"Brasília/DF"
"Relatório de Consultoria para contribuições à minuta da versão compatibilizada da IN SGD/ME 01/2019 com a Lei 14.133/2021","Consultoria","Outros","Auditoria interna governamental",Não,08/03/2023,""
"Relatório de Consultoria nº 908770","Consultoria","Outros","Auditoria interna governamental",Não,14/03/2022,"Brasília/DF"
"Relatório de Consultoria nº 1473817 - Ministério de Minas e Energia - Consultoria na contratação da auditoria independente pelo Comitê Gestor do Pró-Amazônia Legal","Consultoria","Demandas Externas e Representações","Auditoria Interna Governamental",Não,04/10/2023,"Brasília/DF"
"Relatório de Consultoria nº 1439768 - Modelo de contratação de serviços de nuvem do Sistema de Administração dos Recursos de Tecnologia da Informação – Sisp","Consultoria","Outros","Auditoria Interna Governamental",Não,22/12/2023,""
"Relatório de Consultoria nº 1107721 - Ministério do Trabalho e Previdência - Abono Salarial","Consultoria","Outros","Auditoria interna governamental",Não,18/11/2022,"Brasília/DF"
"Relatório de Consultoria nº 1094755 - Instituto Nacional do Seguro Social","Consultoria","Outros","Auditoria interna governamental",Não,16/02/2023,"Brasília/DF"
"Relatório de Consultoria nº 947279 - Plano de Ação para o Nordeste (AgroNordeste)","Consultoria","","Auditoria interna governamental",Não,20/06/2022,"Brasília/DF"
"Relatório de Consultoria nº 905852 - Sistema de Inspeção de Produtos de Origem Vegetal (Sisbi-POV)","Consultoria","","Auditoria interna governamental",Não,16/11/2021,"Brasília/DF"
"Relatório de Consultoria nº 892337 - Expansão do Malha Fina de Convênios para fora da Plataforma +Brasil","Consultoria","","Auditoria interna governamental",Sim,22/03/2022,"Brasília/DF"
"Relatório de Consultoria nº 1530082 - Avaliação prévia do Edital Ferrovia de Integração Oeste-Leste (Fiol) 5FB e 06FC - Infra S.A.","Consultoria","Outros","Auditoria Interna Governamental",Não,23/02/2024,"Bahia"
"Relatório de Consultoria - Contribuições às normas publicadas em 2021 para padronização do SISP","Consultoria","Outros","Auditoria interna governamental",Não,13/09/2022,"Distrito Federal"
"Relatório de Consultoria - Contribuições à revisão do conceito de Solução de TIC adotado pelo SISP","Consultoria","Outros","Auditoria interna governamental",Não,13/09/2022,"Distrito Federal"
"Relatório de Avaliação nº 1353246 - Acordos de Empréstimo BIRD 8812/BR e 8813/BR - Secretaria Estadual de Educação de Santa Catarina (SED-SC)","Avaliação","Avaliação dos Contratos de Recursos Externos","Auditoria interna governamental",Sim,22/12/2023,"Florianópolis/SC"
"Relatório de Avaliação_#905456_INB.","Avaliação","Outros","Auditoria interna governamental",Não,12/10/2022,"Rio de Janeiro/RJ"
"Relatório de Avaliação_#825873_MAST.","Avaliação","Outros","Auditoria interna governamental",Não,09/02/2022,"Rio de Janeiro/RJ"
"Relatório de Avaliação_#825870_ON.","Avaliação","Outros","Auditoria interna governamental",Não,09/02/2022,"Rio de Janeiro/RJ"
"Relatório de Avaliação_#825833_NUCLEP","Avaliação","Outros","Auditoria interna governamental",Não,09/02/2022,"Itaguaí/RJ"
"Relatório de Avaliação_#825241_FINEP","Avaliação","Outros","Auditoria interna governamental",Não,10/02/2022,"Rio de Janeiro/RJ"
"Relatório de Avaliação sobre Termos de Execução Descentralizada – TED - celebrados pela União entre os exercícios 2008 a 2021.","Avaliação","Outros","Auditoria interna governamental",Sim,21/12/2022,"Brasília/DF"
"Relatório de Avaliação preventiva no Pregão Eletrônico Nº 25/2021 do Ministério da Cidadania (serviços de mascaramento de dados)","Avaliação","Outros","Auditoria interna governamental",Não,14/09/2022,"Distrito Federal"
"Relatório de Avaliação nº907009 - Superintendência Regional da Companhia Nacional de Abastecimento no Estado de Mato Grosso do Sul (Sureg/MS)","Avaliação","Outros","Auditoria interna governamental",Não,29/03/2022,"Mato Grosso do Sul"
"Relatório de Avaliação nº 996870 - Superintendência Regional do DNIT/MG - ALICE Pregão nº 220/2021","Avaliação","Outros","Auditoria interna governamental",Não,06/09/2021,"Belo Horizonte/MG, Governador Valadares/MG"
"Relatório de Avaliação nº 991589 - UFERSA - Memorial Paulo Freire.","Avaliação","Outros","Auditoria interna governamental",Não,23/12/2021,"Angicos/RN"
"Relatório de Avaliação nº 979521 - Superintendência Regional do DNIT/MG - ALICE Pregão nº 149/2021","Avaliação","Outros","Auditoria interna governamental",Não,01/10/2021,"Belo Horizonte/MG, Governador Valadares/MG"
"Relatório de Avaliação nº 968070 - SESI/PI - Contratos de Terceirização","Avaliação","Outros","Auditoria interna governamental",Não,03/05/2023,"Teresina/PI"
"Relatório de Avaliação nº 967221 - Petrobras - Avaliação da atuação da área de compliance no processo de mitigação de conflitos de interesses nas condutas entre os empregados e/ou dirigentes da Petrobras e seu público de fornecedores.","Avaliação","Outros","Auditoria Interna Governamental",Não,06/09/2023,"Rio de Janeiro/RJ, Goiânia/GO"
"Relatório de Avaliação nº 961818 - Hemobrás - PE nº 11/2021 - Serviços de apoio técnico e administrativo","Avaliação","Outros","Auditoria interna governamental",Não,31/08/2021,"Recife/PE"
"Relatório de Avaliação nº 961626 - VALEC Engenharia, Construções e Ferrovias S.A - Contratação Integrada para elaboração dos projetos básico e executivo de engenharia e execução do lote 6F-A da Ferrovia de Integração Oeste Leste (FIOL).","Avaliação","Outros","Auditoria interna governamental",Não,09/02/2022,"Santa Maria da Vitória/BA"
"Relatório de Avaliação nº 961240 - SEDUH/PE - Avaliação Contrato de Repasse 895196 (CR 1068.122-56) - Implantação de unidades de triagem de materiais recicláveis e estação de transbordo na Região Metropolitana do Recife.","Avaliação","Outros","Auditoria interna governamental",Não,27/12/2022,"Pernambuco"
"Relatório de Avaliação nº 960774 - FUFS 2021","Avaliação","Outros","Auditoria interna governamental",Não,25/03/2022,"São Cristóvão/SE"
"Relatório de Avaliação nº 960724 - SESI/CN - Patrocínios Concedidos","Avaliação","Outros","Auditoria interna governamental",Não,18/04/2022,"Aracaju/SE"
"Relatório de Avaliação nº 960698 - CBTU/STU-REC - Gestão Operacional","Avaliação","Outros","Auditoria interna governamental",Não,22/09/2022,"Recife/PE"
"Relatório de Avaliação nº 959829 - Auditoria Anual de Contas - Banco do Brasil - exercício 2021","Avaliação","Avaliação da Prestação Anual de Contas","Auditoria interna governamental",Não,04/11/2022,"Brasília/DF"
"Relatório de Avaliação nº 958443 - Plano Nacional de Manutenção Rodoviária - DNIT","Avaliação","Outros","Auditoria interna governamental",Não,02/03/2023,"Brasília/DF"
"Relatório de Avaliação nº 958324 - Avaliação de obras de asfaltamento no Município de Aparecida de Goiânia/GO - MDR.","Avaliação","Outros","Auditoria interna governamental",Não,30/11/2021,"Aparecida de Goiânia/GO"
"Relatório de Avaliação nº 957295 - CAIXA - PLR","Avaliação","Outros","Auditoria interna governamental",Não,09/09/2022,"Brasília/DF"
"Relatório de Avaliação nº 957290 - BB - PLR","Avaliação","Outros","Auditoria interna governamental",Não,31/01/2022,"Brasília/DF"
"Relatório de Avaliação nº 956699 - Projeto Cidades Resilientes - Abordagem de Governança - Municípios de Belo Horizonte-MG e Contagem-MG","Avaliação","Outros",Auditoria interna governamental,Sim,18/11/2021,"Belo Horizonte-MG - Contagem-MG"
"Relatório de Avaliação nº 955474 - Execução dos serviços de roçada manual e de capim colonião nos contratos de manutenção de rodovias - DNIT","Avaliação","Outros",Auditoria interna governamental,Não,26/05/2022,"Brasília-DF"
"Relatório de Avaliação nº 954374 - Ministério da Cidadania - Avaliação contratos CAIXA AE-AER e PBF","Avaliação","Outros",Auditoria interna governamental,Não,25/11/2021,"Brasília-DF"
"Relatório de Avaliação nº 951507 - SEBRAE-PE - Terceirização","Avaliação","Outros",Auditoria interna governamental,Não,13/12/2022,"Recife-PE"
"Relatório de Avaliação nº 951159 - SESI-CN - Patrocínio 4º SESI Futuro","Avaliação","Outros",Auditoria interna governamental,Não,27/05/2022,"Recife-PE"
"Relatório de Avaliação nº 950867 - Sesc-PE - Contratação de Serviços","Avaliação","Outros",Auditoria interna governamental,Não,12/08/2022,"Recife-PE"
"Relatório de Avaliação nº 949647 - PMR-PE - Defesa Civil","Avaliação","Outros",Auditoria interna governamental,Não,08/02/2022,"Brasília-DF"
"Relatório de Avaliação nº 947232 - INSS- SPREV e DECIPEX - Centralização prevista no Decreto nº 10.620-2021 e instituição da unidade gestora única do RPPS da União","Avaliação","Outros",Auditoria interna governamental,Não,08/11/2021,"Brasília-DF"
"Relatório de Avaliação nº 946645 - MDR - Cidades mais resilientes a desastres - Região Metropolitana de Goiânia","Avaliação","Outros",Auditoria interna governamental,Sim,26/10/2021,"Goiânia-GO"
"Relatório de Avaliação nº 942748 - SENAC-SE - Obras/serviços de reforma da área administrativa e construção do novo bloco de gastronomia - CFP Aracaju-SE","Avaliação","Outros",Auditoria interna governamental,Não,23/03/2022,"Aracaju-SE"
"Relatório de Avaliação nº 937064 - Instituto Federal de Pernambuco (IFPE) - ALICE Pregão Eletrônico 01/2021","Avaliação","Outros",Auditoria interna governamental,Não,13/12/2021,"Pernambuco"
"Relatório de Avaliação nº 936329 - CODERN - Avaliação dos Processos de Contratações","Avaliação","Outros",Auditoria Interna Governamental,Não,27/10/2023,"Natal-RN"
"Relatório de Avaliação nº 936271 - Autoridade Portuária de Santos S/A (APS) - Processo de Contratações","Avaliação","Outros",Auditoria Interna Governamental,Não,17/08/2023,"Santos-SP"
