TÍTULO,TIPO_DE_SERVIÇO,GRUPO_DE_ATIVIDADE,LINHA_DE_AÇÃO,AVALIAÇÃO_DE_POLÍTICA_PÚBLICA,PUBLICADO_EM,LOCALIDADES
Relatório 1451144 - Fundo de Financiamento Estudantil (Fies): registros contábeis e gestão da inadimplência,Consultoria,Outros,Auditoria Interna Governamental,Sim,13/06/2024,Brasília/DF
Relatório 1358010 - Norma de referência sobre governança das entidades reguladoras infranacionais dos serviços de saneamento básico,Consultoria,Outros,Auditoria Interna Governamental,Não,13/06/2024,
Relatório 1094577 - Gestão de contratações na Companhia de Entrepostos e Armazéns Gerais de São Paulo (Ceagesp),Avaliação,Outros,Auditoria Interna Governamental,Não,12/06/2024,São Paulo/SP
Relatório 829522 - Contratação de serviços jurídicos e pagamento de honorários advocatícios na CEF,Avaliação,Outros,Auditoria Interna Governamental,Não,12/06/2024,Brasília/DF
Relatório 1089307 - Transferência de gestão do Hospital das Clínicas da UFU para a EBSERH,Avaliação,Outros,Auditoria Interna Governamental,Não,11/06/2024,Uberlândia/MG
Relatório 829524 - Contratação de serviços jurídicos e pagamento de honorários advocatícios no Banco da Amazônia,Avaliação,Outros,Auditoria Interna Governamental,Não,11/06/2024,Rio de Janeiro
Relatório 825862 - Aquisição da nova sede do CRC/RS,Apuração,Outros,Auditoria Interna Governamental,Não,10/06/2024,Porto Alegre/RS
Relatório 1530183 - Gestão de contratos de empréstimos do BID voltados a modernização e defesa agropecuária,Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1551235 - Aplicação de recursos provenientes do Contrato de Empréstimo BID 3391/OC-BR pela Prefeitura de Recife (PE),Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1530060 - Apoio à gestão administrativa e fiscal dos municípios brasileiros: execução do Contrato de Empréstimo BID 3391/OC-BR,Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1551237 - Aplicação de recursos provenientes do Contrato de Empréstimo BID 3391/OC-BR pela Prefeitura de Aracaju (SE),Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1551231 - Aplicação de recursos provenientes do Contrato de Empréstimo BID 3391/OC-BR pelo GDF,Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1344586 - Governança e gestão das redes de comunicação de dados da administração pública federal,Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1424553 - Aplicação de recursos federais na aquisição de medicamentos pela Prefeitura de Itapecerica da Serra (SP),Apuração,,Auditoria Interna Governamental,Não,10/06/2024,Itapecerica da Serra/SP
Relatório 1360352 - Regulação dos serviços de saúde ambulatoriais de média e alta complexidade em Belém (PA),Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,Belém/PA
Relatório 1330235 - Aplicação de recursos federais na aquisição de medicamentos pela Prefeitura de Cotia (SP),Apuração,,Auditoria Interna Governamental	Não,10/06/2024,Cotia/SP,
Relatório 1438241 - Restos a pagar oriundos de transferências voluntárias,Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 903999 - Governança e gestão das bolsas da Capes para discentes de pós-graduação,Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,Brasília/DF
Relatório 1524418 - Contratação obra de engenharia pela UFAC,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,10/06/2024,Rio Branco/AC
Relatório 1461089 - Governança e gestão de contratações da UFPB,Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,João Pessoa/PB
Relatório 1609471 - Aquisição de material para hemodinâmica pelo Hospital Universitário Antônio Pedro (UFF),Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,10/06/2024,Niterói/RJ
Aplicação de recursos federais em hospital de campanha (Covid-19) pela Prefeitura de Nossa Senhora do Socorro (SE),Apuração,Outros,Auditoria Interna Governamental,Não,10/06/2024,Nossa Senhora do Socorro/SE
Aplicação de recursos federais da área da saúde pela Prefeitura de Icó (CE),Apuração,,Auditoria Interna Governamental,Não,10/06/2024,Icó/CE
Relatório 1196943 - Financiamento federal da atenção especializada no SUS: operacionalização do Fundo de Ações Estratégicas e Compensação (FAEC),Avaliação,Outros,Auditoria Interna Governamental,Sim,10/06/2024,Brasília/DF
Relatório 1187108 - Aplicação de recursos públicos federais em angioplastia coronariana realizada pelo Hospital Angelina Caron (PR),Apuração,,Auditoria Interna Governamental,Não,10/06/2024,Campina Grande do Sul/PR
Relatório 1561043 - Aplicação de recursos federais na alimentação escolar pelo Governo do Estado do Amapá,Apuração,,Auditoria Interna Governamental,Não,10/06/2024,Macapá/AP
Aplicação de recursos federais no transporte escolar pela Prefeitura de Chorozinho (CE),Apuração,,Auditoria Interna Governamental,Não,10/06/2024,Chorozinho/CE
Relatório 1173428 - Convênio entre UFRGS e fundação de apoio para a realização de cursos técnicos da área da saúde,Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,Porto Alegre/RS
Relatório 1474606 - Contratação e execução de obras emergenciais na BR-282 pelo DNIT/SC,Avaliação,Outros,Auditoria Interna Governamental,Não,10/06/2024,Florianópolis/SC
Relatório 1505974 - Edital do DSEI Interior Sul (SC) para locação de veículos utilizados na saúde indígena,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,10/06/2024,São José/SC
Relatório 1565649 - Contratação de motoristas pelo DSEI/PE,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,10/06/2024,Recife/PE
Relatório de Avaliação nº 1360686 - INSS/MPS - Avaliação da usabilidade do aplicativo Meu INSS	A,valiação,Outros,Auditoria Interna Governamental,Não,07/06/2024,Brasília/DF
Relatório 1376780 - Atendimento oftalmológico do HUGV (EBSERH) associado a convênio com estado do Amazonas (AM),Avaliação,Outros,Auditoria Interna Governamental,Não,17/05/2024,Manaus/AM
Relatório 1368656 - Governança e gestão do Programa Seguro-Desemprego (PSD),Avaliação,Outros,Auditoria Interna Governamental,Não,13/05/2024,Brasília/DF
Relatório 1267897 - Processo administrativo sancionador (PAS) de pessoas físicas e jurídicas pela CVM,Avaliação,Outros,Auditoria Interna Governamental,Sim,09/05/2024,Brasília/DF
Relatório 1348905 - Autorização de embarcações pesqueiras e monitoramento da pesca,Avaliação,Outros,Auditoria Interna Governamental,Sim,06/05/2024,Brasília/DF
Relatório 1349010 - Programa Nacional de Bioinsumos (PNB),Avaliação,Outros,Auditoria Interna Governamental,Sim,06/05/2024,Brasília/DF
Relatório 1413837 - Respeito ao teto remuneratório constitucional no auxílio financeiro a pesquisadores da UFRN,Avaliação,Outros,Auditoria Interna Governamental,Não,03/05/2024,Natal/RN
Relatório 1367034 - Governança e gestão das outorgas de autorizações ferroviárias realizadas pela ANTT,Avaliação,Outros,Auditoria Interna Governamental,Sim,02/05/2024,Brasília/DF
Relatório de Apuração nº 1475463 - Processo seletivo professores Medicina Veterinária - Universidade Federal Fluminense (UFF),Apuração,,Auditoria Interna Governamental,Não,02/05/2024,Niterói/RJ
Avaliação do modelo de gestão de Serviços de Saúde por Organizações Sociais (OSS),Avaliação,Outros,Auditoria Interna Governamental,Sim,30/04/2024,Brasília/DF
"Relatório 1534073 - Licitações do DNIT para implantação de dispositivos de segurança e sinalização rodoviária nos estados de AL, AP, BA, GO, MA, MG, PB, PE, PI, PR, RR, SC e TO",Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,30/04/2024,Brasília/DF
"Relatório 1593887 - Gestão de pessoal: concessão, pagamento e recadastramento de rubricas decorrentes de decisões judiciais na SFA/GO",Avaliação,Outros,Auditoria Interna Governamental,Não,30/04/2024,Goiânia/GO
Relatório de Avaliação nº 1254779 – SRGPS/MPS – Avaliação do pagamento de bônus aos peritos médicos federais no âmbito do Programa de Revisão de Benefícios por Incapacidade (BPMBI),Avaliação,Outros,Auditoria Interna Governamental,Não,29/04/2024,Brasília/DF
Relatório 1358988 - Gestão do Fundo de Desenvolvimento da Amazônia (FDA),Avaliação,Outros,Auditoria Interna Governamental,Sim,29/04/2024,Belém/PA
Relatório 1464024 - Governança e gestão de contratações do DSEI-Y,Avaliação,Outros,Auditoria Interna Governamental,Não,29/04/2024,Roraima
Relatório de Avaliação nº 1360010 – INSS/MPS – Cessação de pagamentos do INSS vinculados a beneficiários com registro de óbito,Avaliação,Outros,Auditoria Interna Governamental,Não,29/04/2024,Brasília/DF
Relatório 1367449 - Aplicação do patrimônio do SESI/PE nas suas atividades finalísticas,Avaliação,Outros,Auditoria Interna Governamental,Não,26/04/2024,Recife/PE
"Relatório 1594114 - Gestão de pessoal: concessão, pagamento e recadastramento de rubricas decorrentes de decisões judiciais na GRA/ME/GO",Avaliação,Outros,Auditoria Interna Governamental,Não,26/04/2024,Goiânia/GO
"Relatório 1594117 - Gestão de pessoal: concessão, pagamento e recadastramento de rubricas decorrentes de decisões judiciais no Incra/GO",Avaliação,Outros,Auditoria Interna Governamental,Não,26/04/2024,Goiânia/GO
"Relatório 1594119 - Gestão de pessoal: concessão, pagamento e recadastramento de rubricas decorrentes de decisões judiciais no INSS/GO",Avaliação,Outros,Auditoria Interna Governamental,Não,26/04/2024,Goiânia/GO
Relatório 1373076 - Aplicação do patrimônio do SESC/GO nas suas atividades finalísticas,Avaliação,Outros,Auditoria Interna Governamental,Não,26/04/2024,Goiânia/GO
Relatório 1461934 - Aplicação do patrimônio do SESI/PI nas suas atividades finalísticas,Avaliação,Outros,Auditoria Interna Governamental,Não,26/04/2024,"Parnaíba/PI, Teresina/PI"
Relatório 1377079 - Aplicação do patrimônio do SESC/MS nas suas atividades finalísticas	Avaliação	Outros	Auditoria Interna Governamental	Não	26/04/2024	Campo Grande/MS,,,,,,
Relatório 1467042 - Aplicação do patrimônio do SESI/MS nas suas atividades finalísticas	Avaliação	Outros	Auditoria Interna Governamental	Não	26/04/2024	Campo Grande/MS,,,,,,
Relatório 1367442 - Aplicação do patrimônio do SESC/PE nas suas atividades finalísticas	Avaliação	Outros	Auditoria Interna Governamental	Não	26/04/2024	Recife/PE,,,,,,
Relatório 1460814 - Aplicação do patrimônio do SESC/PI nas suas atividades finalísticas	Avaliação	Outros	Auditoria Interna Governamental	Não	26/04/2024	Teresina/PI,,,,,,
Relatório 1594107 - Gestão de pessoal: concessão,pagamento e recadastramento de rubricas decorrentes de decisões judiciais no IFG	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Goiânia/GO,,,,,
Relatório 1594109 - Gestão de pessoal: concessão,pagamento e recadastramento de rubricas decorrentes de decisões judiciais no IF Goiano	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Goiânia/GO,,,,,
Relatório 1594110 - Gestão de pessoal: concessão,pagamento e recadastramento de rubricas decorrentes de decisões judiciais na UFG	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Goiânia/GO,,,,,
Relatório 1594104 - Gestão de pessoal: concessão,pagamento e recadastramento de rubricas decorrentes de decisões judiciais na SEMS/GO	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Goiânia/GO,,,,,
Relatório 1594111 - Gestão de pessoal: concessão,pagamento e recadastramento de rubricas decorrentes de decisões judiciais na Funasa/GO	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Goiânia/GO,,,,,
Relatório 1594105 - Gestão de pessoal: concessão,pagamento e recadastramento de rubricas decorrentes de decisões judiciais no DNIT/GO	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Goiânia/GO,,,,,
Relatório 1375183 - Governança e gestão de contratações do IFRO,Avaliação,Outros,Auditoria Interna Governamental,Não,25/04/2024,Brasília/DF
Relatório 1486213 - Governança e gestão de contratações do IFES,Avaliação,Outros,Auditoria Interna Governamental,Não,25/04/2024,Vitória/ES
Relatório 1530501 - Cooperação internacional (KfW): gestão florestal para a produção sustentável na Amazônia,Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria Interna Governamental,Sim,25/04/2024,Brasília/DF
Relatório 1373597 - Governança e gestão de contratações da UFBA	Avaliação	Outros	Auditoria Interna Governamental	Não	25/04/2024	Salvador/BA,,,,,,
Relatório 1359271 - Gestão dos Termos de Execução Descentralizada celebrados pela Agência Espacial Brasileira (AEB),Avaliação,Outros,Auditoria Interna Governamental,Não,24/04/2024,Brasília/DF
Relatório 1110386 - Capacidade institucional da ANS para exercício da função de órgão regulador,Avaliação,Outros,Auditoria Interna Governamental,Sim,24/04/2024,Rio de Janeiro/RJ
Relatório 825699 - Abastecimento de água e melhorias sanitárias domiciliares em Massapê (PI),Apuração,Outros,Auditoria Interna Governamental,Não,24/04/2024,Massapê do Piauí/PI
Relatório 1481822 - Incentivos tributários ao desenvolvimento científico e tecnológico: PADIS e entidades sem fins lucrativos,Avaliação,Outros,Auditoria Interna Governamental,Sim,24/04/2024,Brasília/DF
Relatório 1366339 - Obras financiadas com recursos federais em Juazeiro do Norte (CE),Apuração,Auditoria Interna Governamental,Sim,24/04/2024,Juazeiro do Norte/CE,
Relatório 1315699 - Execução de convênios em Várzea Alegre (CE),Apuração,,Auditoria Interna Governamental,Não,24/04/2024,Várzea Alegre/CE
Relatório de Avaliação nº 1510873 - Análise Preventiva do RDC Eletrônico n° 383/2023-00 - DNIT,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,24/04/2024,Brasília/DF
Publicação - Apuração de irregularidade no Conselho Nacional de Técnicos em Radiologia - CONTER,Apuração,Outros,Auditoria Interna Governamental,Não,23/04/2024,Brasília/DF
Análise da Licitação Número '11/2023' da UASG '462939 - FUNDAÇÃO DE APOIO AO DES DA CIEN E TECNOLIA (VITORIA/ES)',Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,22/04/2024,Vitória/ES
Relatório de Apuração nº 1435988 - Instalação de Placas Fotovoltaicas no IFRJ,Apuração,Outros,Auditoria Interna Governamental,Não,22/04/2024,Rio de Janeiro
Relatório de Avaliação nº 1415360 - DSEI Yanomami – Governança das atividades de saúde indígena 2021 a 2023 - Estado de Roraima,Avaliação,Outros,Auditoria Interna Governamental,Não,19/04/2024,Roraima
Relatório de Análise de Licitação número 26/2023 - Hemobrás - Serviços de engenharia para gerenciamento de obras e instalações farmacêuticas,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,18/04/2024,Recife/PE
Relatório de Avaliação nº 1111604 - Gestão de empresas estatais - Hemobrás,Avaliação,Outros,Auditoria Interna Governamental,Não,18/04/2024	R,ecife/PE
Relatório de Apuração nº 1196757 - Contratação e Execução de Obras - Prefeitura Municipal de Três Corações/MG,Apuração,,Auditoria Interna Governamental,Não,17/04/2024,Três Corações/MG
Relatório nº 1573388 - Análise da Licitação Número '58/2023' Universidade Federal do Vale do São Francisco (HU-Univasf) - Neurocirurgia,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,16/04/2024,Petrolina/PE
Relatório nº 1536128 - Análise da Licitação Número '35/2023' - Superintendência de Trens Urbanos de Recife (STU-REC) - Prestação de serviços de limpeza e conservação,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,16/04/2024,Recife/PE
Relatório de Apuração nº 1496554 - Manutenção de habilitação de leitos de UTI pela Secretaria de Estado da Saúde do Tocantins (SESAU/TO),Apuração,,Auditoria Interna Governamental,Não,16/04/2024,Tocantins
Relatório de Avaliação nº 1477407 - Atuação do Ministério da Igualdade Racial (MIR) na Assistência e Acompanhamento das Ações de Regularização Fundiária de Territórios Quilombolas,Avaliação,Outros,Auditoria Interna Governamental,Sim,15/04/2024	Brasília/DF,
Relatório de Avaliação nº 1523924 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Brasília/DF,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Brasília/DF
Relatório de Avaliação nº 1524692 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Fortaleza/CE,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Fortaleza/CE
Relatório de Avaliação nº 1524659 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Quixadá/CE,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Quixadá/CE
Relatório de Avaliação nº 1524685 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Monsenhor Tabosa/CE,Avaliação,Outros,Auditoria Interna Governamental	Não	05/04/2024,Monsenhor Tabosa/CE,,
Relatório de Avaliação nº 1524763 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Vitória/ES,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Vitória/ES
Relatório de Avaliação nº 1524624 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Peri Mirim/MA,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Peri Mirim/MA
Relatório de Avaliação nº 1524625 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Israelândia/GO,Avaliação,Outros,Auditoria Interna Governamental,Não	05/04/2024,Israelândia/GO,
Relatório de Avaliação nº 1524687 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Chapadinha/MA,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Chapadinha/MA
Relatório de Avaliação nº 1524698 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Bom Jesus do Norte/ES,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Bom Jesus do Norte/ES
Relatório de Avaliação nº 1524605 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Pavão/MG,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Pavão/MG
Relatório de Avaliação nº 1524726 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Campo Grande/MS,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Campo Grande/MS
Relatório de Avaliação nº 1524747 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Teófilo Otoni/MG,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Teófilo Otoni/MG
Relatório de Avaliação nº 1524713 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Abel Figueiredo/PA,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Abel Figueiredo/PA
Relatório de Avaliação nº 1524668 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Timon/MA,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Timon/MA
Relatório de Avaliação nº 1524705 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Itajubá/MG,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Itajubá/MG
Relatório de Avaliação nº 1524536 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Várzea Grande/MT,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Várzea Grande/MT
Relatório de Avaliação nº 1524626 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Corguinho/MS,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Corguinho/MS
Relatório de Avaliação nº 1524611 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Araguainha/MT,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Araguainha/MT
Relatório de Avaliação nº 1523989 – SAGICAD/MDS - Avaliação colaborativa do Cadastro Único com foco na experiência do usuário em Salvador/BA [CGU Presente],Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Salvador/BA
Relatório de Avaliação nº 1523992 – SAGICAD/MDS - Avaliação colaborativa do Cadastro Único com foco na experiência do usuário em Marituba/PA [CGU Presente],Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Marituba/PA
Relatório de Avaliação nº 1523990 – SAGICAD/MDS - Avaliação colaborativa do Cadastro Único com foco na experiência do usuário em Alegrete/RS [CGU Presente],Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Alegrete/RS
Relatório de Avaliação nº 1524720 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Itumbiara/GO,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Itumbiara/GO
Relatório de Avaliação nº 1523993 – SAGICAD/MDS - Avaliação colaborativa do Cadastro Único com foco na experiência do usuário em Pontalina/GO [CGU Presente],Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Pontalina/GO
Relatório de Avaliação nº 1524693 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Serra Azul/SP,Avaliação,Outros,Auditoria Interna Governamental	Não,05/04/2024,Serra Azul/SP,
Relatório de Avaliação nº 1523991 – SAGICAD/MDS - Avaliação colaborativa do Cadastro Único com foco na experiência do usuário em Piraju/SP [CGU Presente],Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Piraju/SP
Relatório de Avaliação nº 1524580 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Bezerros/PE,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Bezerros/PE
Relatório de Avaliação nº 1524607 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Catende/PE,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Catende/PE
Relatório de Avaliação nº 1524804 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Picos/PI,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Picos/PI
Relatório de Avaliação nº 1524766 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Campina Grande do Sul/PR,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Campina Grande do Sul/PR
Relatório de Avaliação nº 1524752 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Tucuruí/PA,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Tucuruí/PA
Relatório de Avaliação nº 1524680 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Cabedelo/PB,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Cabedelo/PB
Relatório de Avaliação nº 1524664 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Olinda/PE,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Olinda/PE
Relatório de Avaliação nº 1524663 – SAGICAD/MDS - Avaliação dos procedimentos de inclusão e de averiguação cadastral de famílias unipessoais no Cadastro Único em Belém/PA,Avaliação,Outros,Auditoria Interna Governamental,Não,05/04/2024,Belém/PA
